Total Visits,Population,MedianIncome,MedianAge,Family,Nonfamily,Householdsize0,Householdsize2,Pop Age 15+: Married,Pop Age 15+: Nevermarried,Pop Age 15+: Divorced,Pop Age 25+: Bachelor's Degree,Pop Age 25 Grad Professional,Adult,Blackpop,Whitepop,Hispanicpop,Mobility,PopulationGrowthRate,Personal Crime Index (AGS),Motor Vehicle Theft Aggregate (AGS),AREA,POP_C,Population_Density,Female_density,GDP,Is_Florida,Is_Tennessee,Is_Alabama,TJ.Maxx,Marshalls,HomeGoods,Total_competing_store_count_3m,Total_competing_store_visits_3m,Lowe's_3m,The Home Depot_3m,Walmart_3m,Burlington_3m,Kohl's_3m,Ross Dress for Less_3m,Lowe's_visits_3m,The Home Depot_visits_3m,Walmart_visits_3m,Burlington_visits_3m,Kohl's_visits_3m,Ross Dress for Less_visits_3m,Total_competing_store_count1,Total_competing_store_visits1,Lowe's_1m,The Home Depot_1m,Burlington_1m,Kohl's_1m,Ross Dress for Less_1m,Lowe's_visits_1m,The Home Depot_visits_1m,Burlington_visits_1m,Kohl's_visits_1m,Ross Dress for Less_visits_1m,Total_grocery_store_count,Total_grocery_store_visits,Aldi's_3m,Publix_3m,The Fresh Market_3m,Whole Foods Market_3m,Winn-Dixie_3m,Aldi's_visits_3m,Publix_visits_3m,The Fresh Market_visits_3m,Whole Foods Market_visits_3m,Winn-Dixie_visits_3m,num_star,tjmaxx_3m,Marshalls_3m,Homegoods_3m,tjmaxx_visits_3m,Marshalls_visits_3m,Homegoods_visits_3m
463562,5895,97969,44.7,1619,527,638,606,3381,972,430,1758,1036,4814,464,2939,695,5748,2.06,43,453014,4.74232061,5440,1243.062307,0.478541137,60529067,1,0,0,0,0,1,2,2182963,0,1,0,1,0,0,0,596556,0,1586407,0,0,2,2182963,0,1,1,0,0,0,596556,1586407,0,0,5,2363481,1,2,0,0,1,146288,1391024,0,0,414536,2,0,0,0,0,0,0
461838,6019,70783,53.6,1616,1197,1272,590,2931,1069,556,1319,610,5046,308,4756,1288,6019,13.66,79,241704,11.47462968,6574,524.5485186,0.489948496,9597165,1,0,0,0,0,1,6,5429076,1,1,1,1,1,1,709218,992389,333372,2617882,420439,355776,2,1129657,1,0,0,1,0,709218,0,0,420439,0,3,2201307,1,2,0,0,0,217756,1983551,0,0,0,1,1,1,0,486906,394080,0
455531,5626,90137,43.9,829,1876,666,868,1449,2331,1076,980,671,4949,284,4813,855,5575,0.1,86,468013,1.22233559,5067,4602.663987,0.547280483,75792930,1,0,0,0,0,1,4,3016724,0,1,0,1,0,2,0,844028,0,1668267,0,504429,1,844028,0,1,0,0,0,0,844028,0,0,0,10,5456969,1,4,1,1,1,206950,2762926,236735,815893,330111,2,1,1,0,302075,332075,0
453034,7371,74750,45.3,1701,1208,1046,821,2794,1873,901,1054,361,6077,1398,4576,3716,7371,0.41,19,137698,0.99337881,6335,7420.130091,0.568172568,95048259,1,0,0,0,0,1,9,5485483,1,1,1,1,1,4,670550,1063335,296563,1880323,512117,1062595,3,1480291,0,1,0,0,1,0,1063335,0,0,120393,13,9604367,1,9,1,0,0,180401,7842293,397661,0,0,3,1,1,0,417530,309341,0
445372,5099,84146,48.8,1026,1031,829,608,1837,1180,603,549,217,4391,11,3765,713,4943,-0.18,28,113643,2.27998826,4265,2236.415024,0.447146499,29010141,1,0,0,0,0,1,3,3329819,1,0,0,1,0,1,652323,0,0,2299087,0,378409,2,2677496,0,0,1,0,1,0,0,2299087,0,378409,3,2204065,1,2,0,0,0,244614,1959451,0,0,0,1,1,0,0,342542,0,0
436436,6034,82757,37.1,1627,836,828,647,2381,1210,610,953,432,4415,514,5107,455,5812,0.6,119,800819,2.8712798,4792,2101.501916,0.494862446,7692145,1,0,0,0,0,1,6,4298978,1,1,1,1,1,1,984745,954127,237934,1466449,286737,368986,3,3405321,1,1,1,0,0,984745,954127,1466449,0,0,3,2528353,0,2,0,0,1,0,2131054,0,0,397299,0,1,0,0,488801,0,0
432976,5389,101300,66.8,1538,973,1331,399,2957,797,491,1201,1316,4522,115,4693,342,5389,0.47,50,178147,4.20023625,6171,1283.023068,0.542401188,14048289,1,0,0,0,0,1,3,1618269,0,1,0,0,1,1,0,858078,0,0,381637,378554,3,1618269,0,1,0,1,1,0,858078,0,381637,378554,3,1743976,0,1,1,1,0,0,632409,281977,829590,0,5,1,1,0,425778,436709,0
428685,6267,74147,47.1,1336,1379,646,466,2352,1378,1239,1037,539,5204,2174,3555,1170,6244,-0.25,21,156640,1.12613656,7808,5565.044438,0.53949258,95048259,1,0,0,0,0,1,7,6634532,1,1,1,2,0,2,538537,1170773,516943,3645945,0,762334,4,3446564,1,0,1,0,1,538537,0,2046092,0,344992,10,7195109,1,6,1,0,1,296681,5599079,357329,0,553146,1,0,1,0,0,266804,0
413292,11257,68358,35,2539,1657,671,1120,4116,3224,1339,2221,738,8811,2188,6300,3787,10984,0.65,102,686340,1.71217248,10885,6574.688083,0.520476148,83550687,1,0,0,0,0,1,7,6175781,1,2,1,1,1,1,567574,1561555,470061,2548414,552378,475799,3,3668366,1,0,1,1,0,567574,0,2548414,552378,0,9,4728185,2,4,0,0,1,467862,3088425,0,0,316690,1,1,1,0,483380,482310,0
412995,6405,53933,39.5,1175,1377,932,524,1883,1796,1054,794,331,4533,1074,4829,1293,6344,0.42,91,343758,2.48165246,6317,2580.941571,0.457923497,7009099,1,0,0,0,0,1,3,3733032,1,1,0,1,0,0,559980,962729,0,2210323,0,0,1,962729,0,1,0,0,0,0,962729,0,0,0,5,1882642,1,2,1,0,0,313396,1062574,349424,0,0,1,1,0,0,420282,0,0
